address,isHostedBySuperhost,location/lat,location/lng,name,numberOfGuests,pricing/rate/amount,roomType,stars,map_link
"Lonavala, Maharashtra, India",FALSE,18.7532,73.3713,"Bahisht, the Heritage pool villa",8,11433,Entire villa,5.0,"https://www.google.com/maps?q=18.7532,73.3713"
"Lonavala, Maharashtra, India",FALSE,18.77835,73.38543,5 Beds Luxury Private Pool Villa in Khandala,15,11447,Entire villa,4.3,"https://www.google.com/maps?q=18.77835,73.38543"
"Lonavala, Maharashtra, India",FALSE,18.75567,73.40465,5 bedroom spacious family home. Centrally located,16,11455,Entire villa,4.5,"https://www.google.com/maps?q=18.75567,73.40465"
"Lonavala, Maharashtra, India",FALSE,18.78225,73.38634,9BHK || 30PAX || NEAR DELLA || MOUNTAIN VIEW.,16,10479,Entire villa,4.7,"https://www.google.com/maps?q=18.78225,73.38634"
"Lonavala, Maharashtra, India",FALSE,18.74761,73.39841,Lonavalalake 7bhk luxury villa with pool,15,10481,Entire villa,4.7,"https://www.google.com/maps?q=18.74761,73.39841"
"Lonavala, Maharashtra, India",FALSE,18.77809,73.38887,Mountain-view - 3BR W/Swimming Pool @Geometrica,9,10500,Entire villa,4.7,"https://www.google.com/maps?q=18.77809,73.38887"
"Lonavala, Maharashtra, India",FALSE,18.73924,73.43787,8BHK 60 ML Chalet (can accommodate 40 paxs*),16,12519,Entire bungalow,5.0,"https://www.google.com/maps?q=18.73924,73.43787"
"Lonavala, Maharashtra, India",TRUE,18.76709,73.41391,Luxury 6Bhk Crescent Private Pool Villa Lonavala,15,10523,Entire home,4.6,"https://www.google.com/maps?q=18.76709,73.41391"
"Lonavala, Maharashtra, India",FALSE,18.75271,73.40711,7BR w/ swimming pool & pool table @ Mehta Mansion,16,12530,Private room in villa,4.3,"https://www.google.com/maps?q=18.75271,73.40711"
"Lonavala, Maharashtra, India",FALSE,18.77183,73.39347,StayVista at Ayurkutir Villa - 9 BR,16,11612,Entire villa,4.7,"https://www.google.com/maps?q=18.77183,73.39347"
"Lonavala, Maharashtra, India",FALSE,18.75566,73.39192,"Villa 41- 6BR w/Pool, Poker table & Lawn",16,10619,Entire villa,4.7,"https://www.google.com/maps?q=18.75566,73.39192"
"Lonavala, Maharashtra, India",FALSE,18.67386,73.39413,Falcon Hill -Infinity pool views near Lion's point,15,12624,Entire villa,5.0,"https://www.google.com/maps?q=18.67386,73.39413"
"Lonavala, Maharashtra, India",FALSE,18.76465,73.38206,Gardenview Aurus Grande - 5BR W/Pool & Pool table,15,10636,Entire villa,4.6,"https://www.google.com/maps?q=18.76465,73.38206"
"Lonavala, Maharashtra, India",FALSE,18.77152,73.37963,PALACIO   LONAVALA,12,12902,Entire villa,4.7,"https://www.google.com/maps?q=18.77152,73.37963"
"Lonavala, Maharashtra, India",FALSE,18.70197,73.45109,StayVista at 5 rooms @ Vyoman,10,11004,Private room in villa,4.6,"https://www.google.com/maps?q=18.70197,73.45109"
"Lonavala, Maharashtra, India",FALSE,18.76805,73.41268,Aashiyaana Villa Heritage Luxury Villa With Pool,15,12203,Entire villa,4.7,"https://www.google.com/maps?q=18.76805,73.41268"
"Lonavala, Maharashtra, India",FALSE,18.70196,73.45204,StayVista at Vyoman,16,13481,Entire villa,4.7,"https://www.google.com/maps?q=18.70196,73.45204"
"Loutolim, Goa, India",FALSE,15.33419,73.97759,Casa Susegad - Restored Indo-Portuguese Mansion,14,11902,Entire villa,4.7,"https://www.google.com/maps?q=15.33419,73.97759"
"Lucknow, Uttar Pradesh, India",TRUE,26.857,81.001,Luxe 9BHK Villa w/AC Lounge & Terrace in GomtiNgr,16,11397,Entire bungalow,5.0,"https://www.google.com/maps?q=26.857,81.001"
"Mahabaleshwar, Maharashtra, India",FALSE,17.92354,73.66923,Private 10 Room Farmhouse - Rare Find Mahablshwar,16,12533,Entire villa,4.7,"https://www.google.com/maps?q=17.92354,73.66923"
"Mahabaleshwar, Maharashtra, India",FALSE,17.92718,73.67217,Horizon 360 - Pet friendly villa for family,15,11548,Entire villa,4.7,"https://www.google.com/maps?q=17.92718,73.67217"
"Mahabaleshwar, Maharashtra, India",FALSE,17.966,73.663,Super Premium Bungalow with Pool | Mahabaleshwar,12,11723,Entire villa,4.7,"https://www.google.com/maps?q=17.966,73.663"
"Mahabaleshwar, Maharashtra, India",FALSE,17.92426,73.73543,StayVista at Cowboy Castle -7BR w/ Panoramic View,16,12784,Entire villa,4.7,"https://www.google.com/maps?q=17.92426,73.73543"
"Mahagaon, India",FALSE,18.697,73.506,Cherry Flower.,16,11546,Entire bungalow,4.5,"https://www.google.com/maps?q=18.697,73.506"
"Manali, Himachal Pradesh, India",TRUE,32.245,77.181,4BHK: The ForestBound Cottage,10,12153,Entire villa,5.0,"https://www.google.com/maps?q=32.245,77.181"
"Manali, Himachal Pradesh, India",FALSE,32.25024,77.17428,StayVista @The Lama House 6BR w/Bonfire+Lawn+View,16,10448,Entire villa,4.7,"https://www.google.com/maps?q=32.25024,77.17428"
"Manali, Himachal Pradesh, India",FALSE,32.24638,77.18152,perfect cottage 1 km from mall road,12,10481,Private room in bed and breakfast,4.4,"https://www.google.com/maps?q=32.24638,77.18152"
"Manali, Himachal Pradesh, India",FALSE,32.28484,77.17409,ChaletShanagManali- 4 BR Chalet,8,10505,Entire chalet,4.5,"https://www.google.com/maps?q=32.28484,77.17409"
"Manali, Himachal Pradesh, India",TRUE,32.29923,77.17704,Entire boutique stay with 8 rooms Khvaab Manali,16,10962,Room in boutique hotel,4.9,"https://www.google.com/maps?q=32.29923,77.17704"
"Manali, Himachal Pradesh, India",FALSE,32.2409,77.18879,"Hamsa Villas, Manali",12,13744,Entire home,4.8,"https://www.google.com/maps?q=32.2409,77.18879"
"Manali, Himachal Pradesh, India",FALSE,32.2233,77.18228,HighQ Manali / Deluxe Room,3,19946,Room in hotel,3.8,"https://www.google.com/maps?q=32.2233,77.18228"
"Manali, Himachal Pradesh, India",FALSE,32.22352,77.18152,Highq manali / 3 BHK Cottage,9,21124,Room in hotel,3.8,"https://www.google.com/maps?q=32.22352,77.18152"
"Mandrem, Goa, India",FALSE,15.67294,73.71444,Villa Mandrem - luxury 1 acre 5BHK estate,12,12397,Entire villa,4.7,"https://www.google.com/maps?q=15.67294,73.71444"
"Mandrem, Goa, India",FALSE,15.672,73.716,The Mandrem House - 5BHK Luxury Villa with a pool,14,10440,Entire villa,4.8,"https://www.google.com/maps?q=15.672,73.716"
"Mandrem, Goa, India",FALSE,15.65609,73.7169,"Goan house, opposite ashvem beach, complete privcy",4,11445,Entire home,4.7,"https://www.google.com/maps?q=15.65609,73.7169"
"Mandrem, Goa, India",FALSE,15.66473,73.71201,Private Villa with living room and private pool,15,10711,Entire villa,3.7,"https://www.google.com/maps?q=15.66473,73.71201"
"Mandrem, Goa, India",FALSE,15.66367,73.71241,Private Villa with Pool by the beach,16,11902,Entire villa,3.8,"https://www.google.com/maps?q=15.66367,73.71241"
"Mararikulam, Kerala, India",FALSE,9.59906,76.3014,Ninteen People Accomodation at Mararikulam Beach,16,11541,Private room in bed and breakfast,4.4,"https://www.google.com/maps?q=9.59906,76.3014"
"Mararikulam, Kerala, India",FALSE,9.58429,76.3051,Flamingo lovely boutique villa 11 bed Luxury Space,16,11443,Entire home,4.7,"https://www.google.com/maps?q=9.58429,76.3051"
"Maravanthe, Karnataka, India",FALSE,13.72748,74.6406,Kundapura Beach stay: AC Deluxe Cottage,3,12421,Private room in cottage,4.6,"https://www.google.com/maps?q=13.72748,74.6406"
"Maravanthe, Karnataka, India",FALSE,13.725,74.63905,Kundapura Beach stay: AC Sun Cottage,2,12421,Private room in cottage,4.6,"https://www.google.com/maps?q=13.725,74.63905"
"Marna, Goa, India",FALSE,15.615,73.78,Private luxury 7BHK villa with swimming pool,16,11598,Entire villa,4.8,"https://www.google.com/maps?q=15.615,73.78"
"Marsur, Karnataka, India",FALSE,12.763,77.69897,"Cedar House Farm Stay, 20 mins from Koramangala",12,11135,Farm stay,4.9,"https://www.google.com/maps?q=12.763,77.69897"
"Marudanapalli, TN, India",FALSE,12.5419,77.76,Lush Resorts - 9 villas with private pool,16,12409,Private room in resort,4.3,"https://www.google.com/maps?q=12.5419,77.76"
"Mirik, West Bengal, India",TRUE,26.88462,88.18305,"Birdsong Home, entire bungalow with terrace, deck",14,10457,Entire bungalow,4.6,"https://www.google.com/maps?q=26.88462,88.18305"
"Moira, GA, India",FALSE,15.591,73.841,"the Inner Temple sanctuary, Moira, Goa",10,11412,Entire villa,4.9,"https://www.google.com/maps?q=15.591,73.841"
"Moira, Goa, India",FALSE,15.60049,73.83723,Birdsong Moira | A Unique Homestay Experience,15,10962,Entire villa,4.7,"https://www.google.com/maps?q=15.60049,73.83723"
"Morjim, Goa, India",FALSE,15.62707,73.7327,"Vedatmana By The Waves, Morjim",12,10902,Entire villa,4.7,"https://www.google.com/maps?q=15.62707,73.7327"
"Morve, Maharashtra, India",FALSE,18.65139,73.43962,Near Water Fall 3 BHK With Private Swimming Pool,12,10421,Private room in bungalow,4.8,"https://www.google.com/maps?q=18.65139,73.43962"
"Mount Abu, Rajasthan, India",FALSE,24.59639,72.71436,Bungalow with Garden & Terrace Near Nakki Lake,14,10421,Entire home,4.7,"https://www.google.com/maps?q=24.59639,72.71436"
"Mukhteshwar, Uttrakhand, India",FALSE,29.46127,79.65691,The Orchard at Peora Estates | Royal Suite,2,10391,Private room in bungalow,4.8,"https://www.google.com/maps?q=29.46127,79.65691"
"Mumbai, Maharashtra, India",FALSE,19.14178,72.80502,Entire Bungalow in Madh with pvt swimming pool XX2,16,12391,Entire bungalow,4.8,"https://www.google.com/maps?q=19.14178,72.80502"
"Mumbai, Maharashtra, India",FALSE,19.14462,72.79349,#Shubham villa available for events#,16,12454,Entire bungalow,4.8,"https://www.google.com/maps?q=19.14462,72.79349"
"Mumbai, Maharashtra, India",FALSE,19.19027,72.83503,Kalpataru Hometel - best AC BNB rooms in malad,16,12481,Private room in bed and breakfast,4.4,"https://www.google.com/maps?q=19.19027,72.83503"
"Mumbai, Maharashtra, India",FALSE,19.14991,72.89329,VILLA HOLLYWOOD WITH PRIVATE POOL & HUGE TERRACE.,16,11481,Private room in villa,4.6,"https://www.google.com/maps?q=19.14991,72.89329"
"Mumbai, Maharashtra, India",TRUE,19.16242,72.7834,Bougainvilla.. The perfect Getaway in Paradise,8,11601,Entire villa,5.0,"https://www.google.com/maps?q=19.16242,72.7834"
"Mumbai, Maharashtra, India",FALSE,18.92245,72.83399,45 foot 3BR Yacht at Mumbai Harbour,8,11503,Boat,5.0,"https://www.google.com/maps?q=18.92245,72.83399"
"Mumbai, Maharashtra, India",FALSE,18.92181,72.83607,54 foot 3BR Luxury Yacht Mumbai Harbour,10,12924,Boat,5.0,"https://www.google.com/maps?q=18.92181,72.83607"
"Mumbai, Maharashtra, India",TRUE,19.1303,72.81246,Versova beach sunset with Mumbai coastline view,4,11428,Entire condo,4.8,"https://www.google.com/maps?q=19.1303,72.81246"
"Munnar, Kerala, India",FALSE,10.15926,77.17119,"Nature Castle(Willus villa),Munnar,Vattavada",16,10154,Entire villa,4.5,"https://www.google.com/maps?q=10.15926,77.17119"
"Mussoorie, Uttarakhand, India",FALSE,30.45416,78.08309,Raghu Niwas - Your home in the hills,16,12475,Room in boutique hotel,5.0,"https://www.google.com/maps?q=30.45416,78.08309"
"Mussoorie, Uttarakhand, India",FALSE,30.44259,78.20533,A Luxurious Mountain Bungalow with stunning views,8,12499,Entire villa,4.7,"https://www.google.com/maps?q=30.44259,78.20533"
"Nainital, Uttarakhand, India",FALSE,29.41925,79.55279,Sara's Chalet Three w/ Lawn,5,11132,Entire chalet,4.4,"https://www.google.com/maps?q=29.41925,79.55279"
"Nainital, Uttarakhand, India",FALSE,29.45992,79.65339,Sara's Chalet Two with Garden View,5,11149,Entire chalet,4.4,"https://www.google.com/maps?q=29.45992,79.65339"
"Nainital, Uttarakhand, India",FALSE,29.50948,79.63587,Meraki @ The Woodhouse Farm,6,11153,Farm stay,5.0,"https://www.google.com/maps?q=29.50948,79.63587"
"Nainital, Uttarakhand, India",FALSE,29.38566,79.45323,Emily Heritage villa Nainital,12,10421,Entire cottage,4.8,"https://www.google.com/maps?q=29.38566,79.45323"
"Nainital, Uttarakhand, India",FALSE,29.38514,79.45673,"Luxury Entire Heritage Villa, Wifi",16,10842,Entire villa,4.7,"https://www.google.com/maps?q=29.38514,79.45673"
"Nalambi, Maharashtra, India",TRUE,19.22775,73.21889,"Jumbo pool villa, Ambernath",12,10152,Farm stay,4.8,"https://www.google.com/maps?q=19.22775,73.21889"
"Nandgaon, Maharashtra, India",FALSE,18.77551,73.4101,ULTRA LUXURIOUS MANSION with Private Discotheque,16,12902,Entire villa,4.7,"https://www.google.com/maps?q=18.77551,73.4101"
"Narendra Nagar, Uttarakhand, India",FALSE,30.13509,78.30805,Pushp Villa at Amayaah Resorts,6,11706,Private room in resort,4.3,"https://www.google.com/maps?q=30.13509,78.30805"
"Nashik, Maharashtra, India",FALSE,20.07478,73.64144,GP Farm 8BH Villa,16,11505,Private room in resort,4.3,"https://www.google.com/maps?q=20.07478,73.64144"
"Nashik, Maharashtra, India",FALSE,20.01012,73.66948,StayVista at Villa Meer - 6BR w/ Pool & Huge Lawn,16,12505,Entire villa,4.3,"https://www.google.com/maps?q=20.01012,73.66948"
"Nashik, Maharashtra, India",FALSE,20.07376,73.64485,Welcome to 16 Bedroom Gem hidden in Nature!,16,13082,Farm stay,4.6,"https://www.google.com/maps?q=20.07376,73.64485"
"Nathuwakhan, Uttarakhand, India",TRUE,29.47118,79.58584,Homfortable Loshgyani Estate-Rustic forest retreat,12,12118,Farm stay,4.6,"https://www.google.com/maps?q=29.47118,79.58584"
"Navelim, Goa, India",FALSE,15.25535,73.9238,1BHK AC Room With Swimming pool,3,10722,Room in serviced apartment,4.8,"https://www.google.com/maps?q=15.25535,73.9238"
"Nawanpind Sardaran, Punjab, India",FALSE,31.981,75.399,"The Kothi, village stay, Punjab, India (VILLA)",12,10421,Farm stay,4.8,"https://www.google.com/maps?q=31.981,75.399"
"Nedumudy, Kerala, India",FALSE,9.41887,76.40641,"4BR Riverside Hideaway w/ 2 Pvt Pools, Alleppey",8,11433,Private room in nature lodge,4.6,"https://www.google.com/maps?q=9.41887,76.40641"
"Nerul , Goa, India",FALSE,15.50249,73.79117,Sunscape - Sea view 3bhk luxury apartment,6,11692,Entire rental unit,5.0,"https://www.google.com/maps?q=15.50249,73.79117"
"Nerul, Goa, India",FALSE,15.50139,73.79628,"De La Mer, 4BR Sea Facing Pool Villa in Nerul, Goa",12,10407,Entire villa,4.7,"https://www.google.com/maps?q=15.50139,73.79628"
"Nerul, Goa, India",FALSE,15.5003,73.79552,4BHK PRIVATE POOL + SEA VIEW + CARETAKER -CANDOLIM,12,11495,Entire villa,4.3,"https://www.google.com/maps?q=15.5003,73.79552"
"Nerul, Goa, India",FALSE,15.50773,73.80062,11BHK (5+6)LUXURY PRIVATE POOL VILLA near CANDOLIM,16,10601,Entire villa,4.7,"https://www.google.com/maps?q=15.50773,73.80062"
